lambda_nm,absorption_cm1,absorption_m1,temp_m1C1,scattering_m1
642,0.003144,0.3144,1.1000000000000001E-3,7e-4
644,0.003181,0.3181,1.1000000000000001E-3,7e-4
646,0.003223,0.32230000000000003,1.1000000000000001E-3,7e-4
648,0.003263,0.3263,1E-3,7e-4
650,0.003315,0.33149999999999996,1.1000000000000001E-3,7e-4
652,0.003362,0.3362,1E-3,7e-4
654,0.003423,0.3423,1E-3,7e-4
656,0.003508,0.3508,1E-3,7e-4
658,0.003636,0.3636,1.1000000000000001E-3,7e-4
660,0.003791,0.3791,1.1999999999999999E-3,7e-4
662,0.003931,0.39309999999999995,1.5E-3,7e-4
664,0.004019,0.4019,1.5E-3,6e-4
666,0.004072,0.4072,1.5E-3,6e-4
668,0.004098,0.4098,1.4E-3,6e-4
670,0.004122,0.41219999999999996,1.4E-3,6e-4
672,0.00415,0.415,1.2999999999999999E-3,6e-4
674,0.004173,0.41729999999999995,1.2999999999999999E-3,6e-4
676,0.004223,0.4223,1.1999999999999999E-3,6e-4
678,0.00427,0.42700000000000005,1.1000000000000001E-3,6e-4
680,0.004318,0.43179999999999996,1.1000000000000001E-3,6e-4
682,0.004381,0.43810000000000004,1E-3,6e-4
684,0.004458,0.44580000000000003,1E-3,6e-4
686,0.004545,0.4545,8.9999999999999998E-4,6e-4
688,0.004646,0.4646,1E-3,6e-4
690,0.00476,0.47600000000000003,8.9999999999999998E-4,6e-4
692,0.004903,0.4903,8.9999999999999998E-4,5e-4
694,0.005071,0.5071,8.9999999999999998E-4,5e-4
696,0.005244,0.5244000000000001,1E-3,5e-4
698,0.00547,0.547,8.9999999999999998E-4,5e-4
700,0.005722,0.5721999999999999,1E-3,5e-4
702,0.005995,0.5995,1.1999999999999999E-3,5e-4
704,0.006303,0.6303,1.1999999999999999E-3,5e-4
706,0.006628,0.6628000000000001,1.2999999999999999E-3,5e-4
708,0.006993,0.6993,1.6000000000000001E-3,5e-4
710,0.007415,0.7414999999999999,1.8E-3,5e-4
712,0.007893,0.7893000000000001,2.0999999999999999E-3,5e-4
714,0.008445,0.8444999999999999,2.5999999999999999E-3,5e-4
716,0.009109,0.9109,3.2000000000000002E-3,5e-4
718,0.009871,0.9871,3.8999999999999998E-3,5e-4
720,0.010724,1.0724,4.5999999999999999E-3,5e-4
722,0.011679,1.1679,5.3E-3,5e-4
724,0.012684,1.2684000000000002,6.1000000000000004E-3,5e-4
726,0.013719,1.3719000000000001,6.7999999999999996E-3,4e-4
728,0.01487,1.4869999999999999,7.7000000000000002E-3,4e-4
730,0.016211,1.6211,8.6E-3,4e-4
732,0.017872,1.7872,9.7999999999999997E-3,4e-4
734,0.019917,1.9917,1.14E-2,4e-4
736,0.022074,2.2074,1.3299999999999999E-2,4e-4
738,0.023942,2.3942,1.52E-2,4e-4
740,0.025319,2.5319000000000003,1.6299999999999999E-2,4e-4
742,0.026231,2.6231,1.6799999999999999E-2,4e-4
744,0.026723,2.6723,1.66E-2,4e-4
746,0.027021,2.7021,1.61E-2,4e-4
748,0.027216,2.7216,1.52E-2,4e-4
750,0.027334,2.7334,1.43E-2,4e-4
752,0.027413,2.7413,1.32E-2,4e-4
754,0.027478,2.7478,1.2200000000000001E-2,4e-4
756,0.027542,2.7542,1.11E-2,4e-4
758,0.027628,2.7628,1.0200000000000001E-2,4e-4
760,0.02771,2.771,9.1000000000000004E-3,4e-4
762,0.027733,2.7733,8.0999999999999996E-3,4e-4
764,0.027742,2.7742,7.1000000000000004E-3,4e-4
766,0.027701,2.7701,6.1000000000000004E-3,4e-4
768,0.02761,2.761,5.1000000000000004E-3,4e-4
770,0.027542,2.7542,4.1999999999999997E-3,3e-4
772,0.027482,2.7481999999999998,3.3E-3,3e-4
774,0.027305,2.7305,2.5000000000000001E-3,3e-4
776,0.027097,2.7096999999999998,1.6000000000000001E-3,3e-4
778,0.026896,2.6896,8.9999999999999998E-4,3e-4
780,0.02659,2.659,2.0000000000000001E-4,3e-4
782,0.026332,2.6332,-5.0000000000000001E-4,3e-4
784,0.026062,2.6062,-1.1000000000000001E-3,3e-4
786,0.025702,2.5702,-1.6999999999999999E-3,3e-4
788,0.025335,2.5335,-2.2000000000000001E-3,3e-4
790,0.024924,2.4924,-2.7000000000000001E-3,3e-4
792,0.024481,2.4480999999999997,-3.0000000000000001E-3,3e-4
794,0.024083,2.4083,-3.3999999999999998E-3,3e-4
796,0.023742,2.3742,-3.5999999999999999E-3,3e-4
798,0.023332,2.3331999999999997,-3.7000000000000002E-3,3e-4
800,0.022932,2.2932,-3.8E-3,3e-4
