nm,phyto_mixA,Cryptophyta_L,Cryptophyta_H,Diatoms,Dinoflagellates,Green_algae
408,0.0332,0.038109856000000004,0.0215232,0.03273365000000001,0.05561300000000001,0.028728
409,0.0333,0.03838489999999999,0.0216258,0.032910136,0.055504,0.029058999999999998
410,0.0333,0.038611440000000004,0.021717,0.033063554,0.055383,0.029375000000000002
411,0.0334,0.038796808,0.021796799999999998,0.033198170000000006,0.055252,0.029679999999999998
412,0.0334,0.038948148,0.0218652,0.033319198000000015,0.05511100000000001,0.029976
413,0.0334,0.039073356000000004,0.0219222,0.03343043,0.054961,0.030267
414,0.0335,0.03918032800000001,0.021967800000000003,0.033536448,0.054805000000000006,0.030554
415,0.0335,0.039275832,0.021990600000000003,0.03364057,0.05464000000000001,0.030839999999999996
416,0.0335,0.039366635999999997,0.0220134,0.033746114,0.054471000000000006,0.031127
417,0.0335,0.039458756,0.022024799999999997,0.03385560800000001,0.054296000000000004,0.031416
418,0.033600000000000005,0.039556892,0.022036199999999995,0.033971106,0.05411600000000001,0.031708
419,0.033600000000000005,0.039664428,0.022036199999999995,0.03409403,0.053935000000000004,0.032005
420,0.033600000000000005,0.03978418399999999,0.022024799999999997,0.03422517,0.053749000000000005,0.032304
421,0.033600000000000005,0.03991747599999999,0.022024799999999997,0.034364842,0.053564,0.032607000000000004
422,0.0337,0.04006449199999999,0.022024799999999997,0.034512572000000005,0.05337600000000001,0.032911
423,0.0337,0.040224104,0.0220134,0.034667886,0.05318900000000001,0.033215
424,0.0337,0.040394431999999994,0.022024799999999997,0.034829046,0.05300200000000001,0.033514
425,0.033800000000000004,0.040573032,0.022036199999999995,0.034994788,0.05281500000000001,0.033808000000000005
426,0.033800000000000004,0.040755016,0.022047599999999997,0.0351629,0.05263100000000001,0.034091
427,0.033800000000000004,0.040936812,0.0220704,0.035331012,0.052448,0.034361
428,0.0339,0.04111278000000001,0.022115999999999997,0.03549675399999999,0.052268,0.03461100000000001
429,0.0339,0.041277468000000005,0.0221616,0.03565744,0.052091000000000005,0.03483900000000001
430,0.0339,0.04142486,0.022218599999999998,0.035810226,0.051916000000000004,0.035039999999999995
431,0.0339,0.041549692000000006,0.022286999999999998,0.035952268,0.051746,0.035209
432,0.0339,0.041645572,0.0223668,0.036080721999999996,0.05158,0.035343
433,0.0339,0.0417078,0.022446599999999997,0.036193376,0.051417000000000004,0.035438
434,0.0339,0.04173111200000001,0.0225264,0.03628738599999999,0.051259000000000006,0.035490999999999995
435,0.0339,0.04171174800000001,0.022606199999999996,0.036360382,0.051105000000000005,0.0355
436,0.033800000000000004,0.041646512000000004,0.022685999999999998,0.036410626,0.050955,0.035462999999999995
437,0.033800000000000004,0.04153314800000001,0.022742999999999996,0.036436538,0.05081000000000001,0.035379999999999995
438,0.0337,0.04137052800000001,0.0227886,0.036436538,0.050668000000000005,0.03525
439,0.033600000000000005,0.04115884000000001,0.0228114,0.036409835999999994,0.05053200000000001,0.035073999999999994
440,0.0335,0.0408994,0.022799999999999997,0.036355958,0.050398000000000005,0.034855000000000004
441,0.0334,0.040594652,0.0227658,0.03627442999999999,0.050269,0.034594
