wl,absorb_m1,backs_m1
604,0.24480000000000002,5e-4
605,0.25175000000000003,4.75e-4
606,0.2587,4.5e-4
607,0.262,4.5e-4
608,0.2653,4.5e-4
609,0.2672,4.5e-4
610,0.2691,4.5e-4
611,0.2703,4.5e-4
612,0.2715,4.5e-4
613,0.27275,4.5e-4
614,0.27399999999999997,4.5e-4
615,0.2752,4.5e-4
616,0.2764,4.5e-4
617,0.27745,4.5e-4
618,0.2785,4.5e-4
619,0.27975000000000005,4.5e-4
620,0.281,4.5e-4
621,0.28245,4.5e-4
622,0.2839,4.5e-4
623,0.28535,4.2500000000000003e-4
624,0.2868,4e-4
625,0.28805000000000003,4e-4
626,0.2893,4e-4
627,0.29075,4e-4
628,0.2922,4e-4
629,0.29385000000000006,4e-4
630,0.29550000000000004,4e-4
631,0.29715,4e-4
632,0.2988,4e-4
633,0.29995,4e-4
634,0.3011,4e-4
635,0.30245,4e-4
636,0.3038,4e-4
637,0.3057,4e-4
638,0.30760000000000004,4e-4
639,0.30935,4e-4
640,0.3111,4e-4
641,0.31275,3.75e-4
642,0.3144,3.5e-4
643,0.31625000000000003,3.5e-4
644,0.3181,3.5e-4
645,0.32020000000000004,3.5e-4
646,0.32230000000000003,3.5e-4
647,0.32430000000000003,3.5e-4
648,0.3263,3.5e-4
649,0.32889999999999997,3.5e-4
650,0.33149999999999996,3.5e-4
651,0.33385,3.5e-4
652,0.3362,3.5e-4
653,0.33925,3.5e-4
654,0.3423,3.5e-4
655,0.34655,3.5e-4
656,0.3508,3.5e-4
657,0.35719999999999996,3.5e-4
658,0.3636,3.5e-4
659,0.37134999999999996,3.5e-4
660,0.3791,3.5e-4
661,0.3861,3.5e-4
662,0.39309999999999995,3.5e-4
663,0.39749999999999996,3.25e-4
664,0.4019,3e-4
665,0.40454999999999997,3e-4
666,0.4072,3e-4
667,0.4085,3e-4
668,0.4098,3e-4
669,0.411,3e-4
670,0.41219999999999996,3e-4
671,0.41359999999999997,3e-4
672,0.415,3e-4
673,0.41614999999999996,3e-4
674,0.41729999999999995,3e-4
675,0.41979999999999995,3e-4
676,0.4223,3e-4
677,0.42465,3e-4
678,0.42700000000000005,3e-4
679,0.4294,3e-4
680,0.43179999999999996,3e-4
681,0.43495,3e-4
682,0.43810000000000004,3e-4
683,0.44195000000000007,3e-4
684,0.44580000000000003,3e-4
685,0.45015000000000005,3e-4
686,0.4545,3e-4
687,0.45955,3e-4
688,0.4646,3e-4
689,0.47030000000000005,3e-4
690,0.47600000000000003,3e-4
691,0.48315,2.7499999999999996e-4
692,0.4903,2.5e-4
693,0.49870000000000003,2.5e-4
694,0.5071,2.5e-4
695,0.51575,2.5e-4
696,0.5244000000000001,2.5e-4
697,0.5357000000000001,2.5e-4
698,0.547,2.5e-4
699,0.5596,2.5e-4
700,0.5721999999999999,2.5e-4
701,0.58585,2.5e-4
702,0.5995,2.5e-4
703,0.6149,2.5e-4
704,0.6303,2.5e-4
705,0.64655,2.5e-4
706,0.6628000000000001,2.5e-4
707,0.68105,2.5e-4
708,0.6993,2.5e-4
709,0.7203999999999999,2.5e-4
710,0.7414999999999999,2.5e-4
711,0.7654000000000001,2.5e-4
712,0.7893000000000001,2.5e-4
713,0.8169,2.5e-4
714,0.8444999999999999,2.5e-4
715,0.8776999999999999,2.5e-4
716,0.9109,2.5e-4
717,0.9490000000000001,2.5e-4
718,0.9871,2.5e-4
719,1.02975,2.5e-4
720,1.0724,2.5e-4
721,1.12015,2.5e-4
722,1.1679,2.5e-4
723,1.21815,2.5e-4
724,1.2684000000000002,2.5e-4
725,1.3201500000000002,2.25e-4
726,1.3719000000000001,2e-4
727,1.42945,2e-4
728,1.4869999999999999,2e-4
729,1.55405,2e-4
730,1.6211,2e-4
731,1.7041499999999998,2e-4
732,1.7872,2e-4
733,1.88945,2e-4
734,1.9917,2e-4
735,2.09955,2e-4
736,2.2074,2e-4
737,2.3007999999999997,2e-4
738,2.3942,2e-4
739,2.46305,2e-4
740,2.5319000000000003,2e-4
741,2.5775,2e-4
742,2.6231,2e-4
743,2.6477,2e-4
744,2.6723,2e-4
745,2.6872,2e-4
746,2.7021,2e-4
747,2.71185,2e-4
748,2.7216,2e-4
749,2.7275,2e-4
750,2.7334,2e-4
751,2.73735,2e-4
752,2.7413,2e-4
753,2.74455,2e-4
754,2.7478,2e-4
755,2.751,2e-4
756,2.7542,2e-4
757,2.7584999999999997,2e-4
758,2.7628,2e-4
759,2.7668999999999997,2e-4
760,2.771,2e-4
761,2.77215,2e-4
762,2.7733,2e-4
763,2.7737499999999997,2e-4
764,2.7742,2e-4
765,2.77215,2e-4
766,2.7701,2e-4
767,2.76555,2e-4
768,2.761,2e-4
769,2.7576,1.75e-4
770,2.7542,1.5e-4
771,2.7512,1.5e-4
772,2.7481999999999998,1.5e-4
773,2.73935,1.5e-4
774,2.7305,1.5e-4
775,2.7201,1.5e-4
776,2.7096999999999998,1.5e-4
777,2.69965,1.5e-4
778,2.6896,1.5e-4
779,2.6742999999999997,1.5e-4
780,2.659,1.5e-4
781,2.6460999999999997,1.5e-4
782,2.6332,1.5e-4
783,2.6197,1.5e-4
784,2.6062,1.5e-4
785,2.5881999999999996,1.5e-4
786,2.5702,1.5e-4
787,2.55185,1.5e-4
788,2.5335,1.5e-4
789,2.51295,1.5e-4
790,2.4924,1.5e-4
791,2.47025,1.5e-4
792,2.4480999999999997,1.5e-4
793,2.4282,1.5e-4
794,2.4083,1.5e-4
795,2.3912500000000003,1.5e-4
796,2.3742,1.5e-4
797,2.3537,1.5e-4
798,2.3331999999999997,1.5e-4
799,2.3132,1.5e-4
800,2.2932,1.5e-4
